id,created_at,age,username,ai_knowledge,ai_attitude,ai_reliance,gender
ee10935d-688a-4142-9dc3-f6b7aa26a363,2025-12-14 22:14:21.430609+00,20,,1,4,5,weiblich
eea58827-cbd7-4dee-92ee-fd1a3dc24dd0,2025-12-15 12:06:28.58475+00,20,,4,4,4,männlich
f0f9e965-9575-45c0-90b4-1edb49166fa7,2025-12-17 08:49:50.759305+00,40,,5,5,4,männlich
f1190c3b-a787-42d4-8ff5-8a9d53a05fc2,2025-12-15 17:53:05.782583+00,24,,1,3,2,
f38790f4-a6c1-4688-b31c-58763112b7d5,2025-12-15 16:34:46.625106+00,20,,2,4,4,weiblich
f425795b-c4f6-4c66-bfc0-91f4c84cc0f8,2025-12-15 14:32:19.106253+00,22,,5,4,4,männlich
f52ea8fa-8605-4d14-ab0e-eb5b9a29bed5,2025-12-17 15:26:41.803494+00,61,,3,3,3,
f6748383-39ea-4094-a92d-e6f40e352388,2025-12-20 04:23:45.116802+00,59,,4,4,4,männlich
f87c7bbf-41c8-4f87-97a7-da6472b4ecd8,2025-12-19 09:27:10.610805+00,,,3,1,1,
f88cc378-9c37-49eb-93cd-df6ea8101b2c,2025-12-21 10:49:34.930361+00,,,5,4,2,
ff35451b-dbcb-4600-9fea-522aaf727050,2025-12-20 07:34:17.448261+00,57,,3,5,3,männlich
ffcca1e7-9739-4900-b212-ec978b4df448,2025-12-15 19:52:36.359631+00,7,,4,4,3,
